activity_id,activity_status,activity_status_id,activity_type,activity_type_id,automated,contact_id,date_created,date_done,date_last_modified,employee_id,lead_employee_id,lead_id,lead_status,lead_status_id,lead_type,lead_type_id
42,N/A,5,Lead created,4,0,18,2011-05-15 17:30:05,2011-05-15 17:30:05,,75,0,17,New,1,Price Quote (new),1
43,N/A,5,Lead created,4,0,19,2011-05-15 18:28:35,2011-05-15 18:28:35,,75,0,18,New,1,Price Quote (new),1
49,N/A,5,Lead created,4,0,151571,2011-05-16 12:48:36,2011-05-16 12:48:36,,75,0,19,New,1,Price Quote (new),1
63,N/A,5,Lead created,4,0,25,2011-05-16 13:41:18,2011-05-16 13:41:18,,75,0,22,New,1,Price Quote (new),1
65,N/A,5,Lead created,4,0,164,2011-05-16 13:52:01,2011-05-16 13:52:01,,75,0,24,New,1,Price Quote (new),1
68,N/A,5,Lead created,4,0,28,2011-05-16 14:08:49,2011-05-16 14:08:49,,75,0,25,New,1,Price Quote (new),1
71,N/A,5,Lead created,4,0,29,2011-05-16 14:26:30,2011-05-16 14:26:30,,75,0,26,New,1,Price Quote (new),1
80,N/A,5,Lead created,4,0,32,2011-05-16 15:57:58,2011-05-16 15:57:58,,75,0,29,New,1,Price Quote (new),1
81,N/A,5,Employee assigned,5,0,17,2011-05-16 16:04:57,2011-05-16 16:04:57,,11,0,16,New,1,Price Quote (new),1
82,N/A,5,Status changed,1,0,17,2011-05-16 16:04:57,2011-05-16 16:04:57,,11,0,16,New,1,Price Quote (new),1
83,N/A,5,Employee assigned,5,0,18,2011-05-16 16:13:45,2011-05-16 16:13:45,,11,0,17,New,1,Price Quote (new),1
84,N/A,5,Status changed,1,0,18,2011-05-16 16:13:45,2011-05-16 16:13:45,,11,0,17,New,1,Price Quote (new),1
85,N/A,5,Employee assigned,5,0,19,2011-05-16 16:14:06,2011-05-16 16:14:06,,11,0,18,New,1,Price Quote (new),1
86,N/A,5,Status changed,1,0,19,2011-05-16 16:14:06,2011-05-16 16:14:06,,11,0,18,New,1,Price Quote (new),1
87,N/A,5,Employee assigned,5,0,151571,2011-05-16 16:14:28,2011-05-16 16:14:28,,11,0,19,New,1,Price Quote (new),1
88,N/A,5,Status changed,1,0,151571,2011-05-16 16:14:28,2011-05-16 16:14:28,,11,0,19,New,1,Price Quote (new),1
89,N/A,5,Employee assigned,5,0,151571,2011-05-16 16:15:17,2011-05-16 16:15:17,,11,0,19,New,1,Price Quote (new),1
90,N/A,5,Status changed,1,0,151571,2011-05-16 16:15:17,2011-05-16 16:15:17,,11,0,19,New,1,Price Quote (new),1
91,N/A,5,Employee assigned,5,0,25,2011-05-16 16:16:18,2011-05-16 16:16:18,,11,0,22,New,1,Price Quote (new),1
92,N/A,5,Status changed,1,0,25,2011-05-16 16:16:18,2011-05-16 16:16:18,,11,0,22,New,1,Price Quote (new),1
93,N/A,5,Employee assigned,5,0,164,2011-05-16 16:16:54,2011-05-16 16:16:54,,11,0,24,New,1,Price Quote (new),1
94,N/A,5,Status changed,1,0,164,2011-05-16 16:16:54,2011-05-16 16:16:54,,11,0,24,New,1,Price Quote (new),1
95,N/A,5,Employee assigned,5,0,28,2011-05-16 16:17:20,2011-05-16 16:17:20,,11,0,25,New,1,Price Quote (new),1
96,N/A,5,Status changed,1,0,28,2011-05-16 16:17:20,2011-05-16 16:17:20,,11,0,25,New,1,Price Quote (new),1
97,N/A,5,Employee assigned,5,0,29,2011-05-16 16:17:54,2011-05-16 16:17:54,,11,0,26,New,1,Price Quote (new),1
98,N/A,5,Status changed,1,0,29,2011-05-16 16:17:54,2011-05-16 16:17:54,,11,0,26,New,1,Price Quote (new),1
101,Completed,4,Phone,10,0,19,2011-05-16 16:38:03,2011-05-16 16:38:03,,6,0,18,New,1,Price Quote (new),1
104,Completed,4,Phone,10,0,18,2011-05-16 16:51:28,2011-05-16 16:51:28,,6,0,17,New,1,Price Quote (new),1
106,N/A,5,Lead created,4,0,33,2011-05-16 17:03:14,2011-05-16 17:03:14,,6,0,30,New,1,Price Quote (new),1
107,Completed,4,Phone,10,0,17,2011-05-16 17:30:49,2011-05-16 17:30:49,,6,0,16,New,1,Price Quote (new),1
109,Completed,4,Phone,10,0,29,2011-05-16 17:53:37,2011-05-16 17:53:37,,6,0,26,New,1,Price Quote (new),1
111,N/A,5,Lead created,4,0,68875,2011-05-16 20:56:18,2011-05-16 20:56:18,,75,0,31,New,1,Price Quote (new),1
117,N/A,5,Note,3,0,151571,2011-05-17 09:59:59,2011-05-17 09:59:59,,7,0,19,New,1,Price Quote (new),1
118,N/A,5,Lead created,4,0,39,2011-05-17 12:52:09,2011-05-17 12:52:09,,6,0,33,New,1,Price Quote (new),1
119,Completed,4,SMS sent,11,0,39,2011-05-17 12:53:04,2011-05-17 12:53:04,,6,0,33,New,1,Price Quote (new),1
120,Completed,4,SMS sent,11,0,39,2011-05-17 12:54:58,2011-05-17 12:54:58,,6,0,33,New,1,Price Quote (new),1
