car_ext_photo_url1,car_ext_photo_url2,car_ext_photo_url3,car_id,car_int_photo_url1,car_int_photo_url2,car_int_photo_url3,car_status,car_status_id,car_year,carproof,certified,clearance,commercial,cubic_capacity,date_created,date_entry,date_service,date_sold,date_updated,demo,doors,drive_train,engine_type,extend_warranty_id,extra_option,fuel,induction,inventory_color,inventory_frame_category,inventory_frame_category_id,inventory_frame_desc,inventory_frame_style,inventory_frame_style_id,inventory_id,inventory_interior_color,inventory_make,inventory_make_id,inventory_model,inventory_model_desc_id,inventory_trim,inventory_trim_id,inventory_vehicle_category_id,new,note,odometer,option,passengers,price,severely_damaged_vehicle,transmission_gear,transmission_type,vehicle_page_views,warranty_class,warranty_date,warranty_km
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,2751628,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2007,1,0,0,0,,2013-04-23 21:40:47,2009-06-01 00:00:00,,2010-01-20,2014-10-01 21:28:04,0,4,Front wheel drive,4,0,,Unleaded,,Rouge,Passenger,,,Sedan,1.0,25,Gris,Toyota,589,Corolla,2626,Berline,51048,1,0,"CD Player, Power Doors, Air Conditioning, MP3 player",0,,0,219,0,5.0,MANUAL,,Class D,,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,2961021,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2005,1,0,0,0,,2013-04-23 21:40:47,2009-09-04 00:00:00,,,2014-10-01 21:28:17,0,4,Front wheel drive,4,0,,Unleaded,,Gold,Passenger,,,Sedan,1.0,10,Grey,Saturn,781,Ion,2610,Midlevel,88,1,0,"AM/FM Radio, CD Player, Power Doors, Power Steering, Air Conditioning, Bucket Seats, Driver Airbag, Passenger Airbag, Interior Trunk Release, Rear window defroster, Floor mats",69442,,0,5995,0,4.0,AUTOMATIC,,"Class C : 1 month or 1,700 km.",2010/05/06,100000
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3051873,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2008,1,0,0,0,0.0,2013-04-23 21:40:47,2009-10-13 00:00:00,,2010-02-02,2014-10-01 21:28:17,0,5,,,0,,,,Gris fantome,Passenger,,,Hatchback,3.0,25,Noir,Toyota,589,Yaris Hatchback,3369,,1,1,0,"CD Player, Power Doors, Power Steering, ABS Brakes",31000,,0,217,0,4.0,AUTOMATIC,,Class D,,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3098788,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2007,1,0,0,0,4000.0,2013-04-23 21:40:47,2009-11-04 00:00:00,,2010-05-05,2014-10-01 21:28:04,0,4,All wheel drive,6,0,,Unleaded,Normally aspirated,NOIR,Sport Utility,,,Sedan,1.0,25,NOIR,Toyota,589,FJ Cruiser,3370,HAUT DE GAMME,428,1,0,"CD Player, Power Windows, Power Doors, Power Steering, Air Conditioning, Cruise Control, Electric Mirrors, ABS Brakes, Alloy Wheels, Fog Lights, Air Bags, Electric Seats, Compact Disc Changer, Traction Control, Stability control, In-dash CD changer",46000,,0,614,0,6.0,MANUAL,,Class D,,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3098984,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2008,1,0,0,0,3500.0,2013-04-23 21:40:47,2009-11-04 00:00:00,,2010-01-22,2014-10-01 21:28:17,0,5,All wheel drive,6,0,,Unleaded,Normally aspirated,GRIS MAGNÉTIQUE,Sport Utility,,,Midsize,,25,,Toyota,589,Highlander,3371,,1,1,0,"CD Player, Power Windows, Power Doors, Power Steering, Cruise Control, Electric Mirrors, ABS Brakes, Alloy Wheels, Fog Lights, Air Bags, Electric Seats, Traction Control, Stability control",0,,0,588,0,6.0,AUTOMATIC,,Class D,,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3207588,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2009,1,0,0,0,6000.0,2013-04-23 21:40:47,2010-01-05 00:00:00,,,2014-10-01 21:28:17,1,4,Front wheel drive,V6,0,,Unleaded,,Blanc Cubes de sucre,Passenger,,NÉGOCIABLE,Sedan,1.0,22,CHARCOAL,Mazda,567,Mazda6,2593,GT,23,1,0,"Fully Equipped, AM/FM Radio, CD Player, Power Windows, Power Steering, Air Conditioning, Cruise Control, Sun Roof, Electric Mirrors, Tinted Windows, Leather Interior, ABS Brakes, Alarm System, Alloy Wheels, Heated Seat, Fog Lights, Kill Switch, Tilt Steering, Air Bags, Climate Control, Driver Airbag, Passenger Airbag, Side Airbags, Cellular Phone, Electric Seats, Hood Protector, Rear-Folding Seats, Adjustable Mirrors from Interior, Clock, Intermittent Wipers, Interior Trunk Release, Color Matched Bumpers, Electric Right Front Seat, Electric Left Front Seat, Compact Disc Changer, Remote Entry, Tachometer, Navigation Computer, Onboard Computer, Dual Zone Climate Control, Memory Seats, Power Brakes, Traction Control, Heated mirrors, Child proof locks, Steering wheel audio controls, Stability control, Moonroof, Rainsensing wipers, Rear window defroster, MP3 player, In-dash CD changer, Xenon headlights, Floor mats",12523,GPS,5,27995,0,6.0,AUTOMATIC,,"Class A : 6 months or 10,000 km.",,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3218186,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2008,1,0,0,0,,2013-04-23 21:40:47,2010-01-11 00:00:00,,2010-01-28,2014-10-01 21:28:17,0,5,All wheel drive,4,0,,,,Blanc Alpin,Sport Utility,,,,,25,noir,Toyota,589,RAV4,2365,,1,1,0,"CD Player, Power Windows, Air Conditioning, Electric Mirrors, ABS Brakes, Alloy Wheels, Air Bags, Stability control, MP3 player",52500,,0,466,0,,AUTOMATIC,,Class D,,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3256983,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2008,1,0,0,0,0.0,2013-04-23 21:40:47,2010-01-05 00:00:00,2007-01-27,,2014-10-01 21:28:04,0,3,Front wheel drive,V6,0,,Unleaded,,Red,Passenger,,2 Door coupe,Coupe,2.0,10,Black,Mitsubishi,583,Eclipse,2345,GT-P,89,1,0,"Fully Equipped, AM/FM Radio, CD Player, Power Windows, Power Doors, Power Steering, Air Conditioning, Cruise Control, Sun Roof, Electric Mirrors, Leather Interior, ABS Brakes, Alarm System, Spoiler, Alloy Wheels, Heated Seat, Fog Lights, Bucket Seats, Air Bags, Climate Control, Driver Airbag, Passenger Airbag, Side Airbags, Electric Seats, Adjustable Mirrors from Interior, Clock, Interior Trunk Release, Compact Disc Changer, Remote Entry, Traction Control, Heated mirrors, Steering wheel audio controls, Moonroof, Rear window defroster, MP3 player, Floor mats",53325,,0,17995,0,6.0,MANUAL,,"Class C : 1 month or 1,700 km.",2017/07/27,160000
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3272090,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2010,1,0,0,0,,2013-04-23 21:40:47,2010-02-17 00:00:00,,,2014-10-01 21:28:17,0,4,,4,0,,,,Black,Passenger,,,Sedan,1.0,6,Black,Mazda,567,Mazda3,2313,,1,1,0,"Fully Equipped, AM/FM Radio, CD Player, Power Windows, Power Doors, Power Steering, Air Conditioning, Cruise Control, Sun Roof, Electric Mirrors, Alloy Wheels, Tilt Steering, Air Bags, Rear-Folding Seats, Intermittent Wipers, Protective Side Moulding, Remote Entry, Tachometer, Power Brakes, Steering wheel audio controls",9098,,5,21019,0,0.0,AUTOMATIC,,Class D,,0
http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,3279476,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/used_car.jpg,,,DELETED,3,2007,1,0,0,0,,2013-04-23 21:40:47,2010-02-22 00:00:00,,2011-04-15,2014-10-01 21:28:17,0,4,,4,0,,,,Rouge,Passenger,,,,,25,Gris,Toyota,589,Yaris,2622,4 PORTES,310,1,0,"CD Player, Air Conditioning, ABS Brakes, Air Bags",31000,,0,280,0,,AUTOMATIC,,Class D,,0
