car_desc,car_id,car_year,category,country_code,make,make_id,model,model_desc_id,vehicle_category_id
"Compacte, pratique et écoénergétique : la Rio 2010 répond à vos besoins de base et vous offre un peu de luxe en supplément. C'est pourtant vrai : la Rio propose une tonne de caractéristiques supplémentaires surprenantes, pour le même prix.

Avec la Rio, vous obtenez une berline à 4 portes maniable et élégante, spacieuse et élégante. De plus, la Rio vous propose des équipements qui n'ont rien d'ordinaire, comme la chaîne audio AM/FM/CD/MP3, de série, les prises audio auxiliaires et USB, compatible avec les iPod®, et la compatibilité avec la téléphonie mains libres Bluetooth®. Enfin, la Rio est propulsée par un moteur performant et agréable de 1,6 litre qui consomme seulement 5,6 L/100 km sur l'autoroute. La Rio 2010, c'est tout ça!",1,2010,car,CA,Kia,1,Rio,5,0
"The 2010 Rio5 is designed with fun in mind. With its quick, 1.6-litre, 110-horsepower engine, and available 15"" alloy wheels, the Rio5 delivers crisp, responsive performance – the kind that puts a smile on your face every time you get behind the wheel.

A big, practical rear hatch and flat-folding rear seats give you plenty of cargo-carrying space whenever you need it. And if it's comfort and convenience that you want most, Rio5 has what you need, including available air conditioning, heated front seats and remote keyless entry plus standard hands-free Bluetooth® cell phone capability. Fun, comfortable and practical. That's the 2010 Rio5.",4,2010,car,CA,Kia,1,Rio 5,8,0
"From the moment it hits the street, Borrego commands attention. An uncompromising presence, rugged capabilities, available V6 and V8 powertrains, and exceptional towing power make it an SUV to be reckoned with. That's obvious. What isn't so obvious, until you have the pleasure of getting behind the wheel, is Borrego's well-mannered ride and handling, available luxury-class comforts – including heated leather seating, an electric power tilt and telescopic steering wheel, and push-button starting – and exceptional quality. There are no compromises here.",5,2010,car,CA,Kia,1,Borrego,9,0
"Compact, practical and fuel-efficient: the 2011 Rio has all the basics covered, and then some. Because Rio is loaded with surprising extras that don't cost extra.

You get a sharp-looking, easy-handling sedan with roomy, four-door comfort and way-beyond-basic features. Things like a standard AM/FM/CD/MP3 audio system with iPod®-friendly auxiliary and USB ports, and standard hands-free Bluetooth® cell phone capability. All this plus fun-to-drive performance from a 1.6-litre engine with a 5.6L/100 km highway fuel-economy rating. That's the 2011 Rio.",11,2011,car,CA,Kia,1,Rio,5,0
"From the moment it hits the street, Borrego commands attention. An uncompromising presence, rugged capabilities, available V6 and V8 powertrains, and exceptional towing power make it an SUV to be reckoned with. That's obvious. What isn't so obvious, until you have the pleasure of getting behind the wheel, is Borrego's well-mannered ride and handling, available luxury-class comforts – including heated leather seating, an electric power tilt and telescopic steering wheel, and push-button starting – and exceptional quality. There are no compromises here.",12,2011,car,CA,Kia,1,Borrego,9,0
"The 2011 Rio5 is designed with fun in mind. With its quick, 1.6-litre, 110-horsepower engine, and available 15"" alloy wheels, the Rio5 delivers crisp, responsive performance – the kind that puts a smile on your face every time you get behind the wheel.

A big, practical rear hatch and flat-folding rear seats give you plenty of cargo-carrying space whenever you need it. And if it’s comfort and convenience that you want most, Rio5 has what you need, including available air conditioning, heated front seats and remote keyless entry plus standard hands-free Bluetooth® cell phone capability. Fun, comfortable and practical. That’s the 2011 Rio5.",14,2011,car,CA,Kia,1,Rio 5,8,0
"The all-new 2011 Kia Sportage is all about you – your style, your attitude, your zest for life and your love of adventure. There’s no one else like you, and nothing else like Sportage. Sportage blends athleticism and elegance in its captivating design, the latest expression of a new Kia design language spoken in bold lines and sophisticated details. This is a compact crossover that stands far above the anonymous crowd; a no-nonsense performer that rises to the challenges of a busy life. Effortlessly.",15,2011,car,CA,Kia,1,Sportage,10,0
"With the all-new 2011 Sorento, Kia wants to show you a new way to see the world. We didn’t just upgrade a few features and add more equipment, we had something bigger in mind: an all-new vehicle. 

One look at Sorento and you’ll see why we call it beautifully rugged. With a new unibody structure, European-inspired styling, and available seven-passenger seating, everything about the Sorento has changed for the better. Even the manufacturing plant that builds it is new – and in North America.",16,2011,car,CA,Kia,1,Sorento,11,0
"The 2010 Soul is a fun loving, freewheeling vehicle with an unmistakable look and attitude, inside and out. With seating for five and some of the coolest interior features you’ve ever seen, Soul takes life’s party to street. And it comes loaded with things like heated front seats, power windows and door locks, hands-free Bluetooth® cellphone capability, electronic stability control and all kinds of other surprising features that you don’t have to pay extra for.

Best of all, Soul is designed to be whatever you make it. With over 60 different Soul accessories, you can personalize it any way that suits your soul.",17,2010,car,CA,Kia,1,Soul,12,0
"The 2010 Forte is changing the face of Kia and setting new benchmarks for compact sedans in Canada and around the world. Forte’s styling is sporty and confident, its performance is crisp and invigorating, and it comes with standard features that no other car in its price range can match. That shouldn’t be surprising from an automaker like Kia. After all, Kia is known around the world for the power to surprise™: that’s our forte. And now you have a Forte you’ll be proud to call your own.
",18,2010,car,CA,Kia,1,Forte,13,0
"When we decided to build our first two-door coupe, we didn’t hold anything back. The result is the 2010 Kia Forte Koup. The Forte Koup brings the shape and design cues of the groundbreaking Koup concept to life in Canada’s newest and most exciting compact sport coupe. With a low wedge-like profile and bold styling, it turns heads faster than any law should allow. It’s also infused with the power to surprise, so you’ll find the Forte Koup is packed with performance, comfort and convenience features that you probably thought you’d have to pay extra for. Surprise!
",19,2010,car,CA,Kia,1,Forte Koup,14,0
"The 2010 Rondo is big on the inside, with room for up to seven. It’s also small enough to squeeze through traffic and into tight parking spaces without missing a beat. That’s why we call it Canada’s Urban Utility Vehicle. But Rondo goes far beyond utility. If you want V6 power, Rondo offers it without making you pay, big time, at the gas pump. If you want comfort that’s a cut above you’ll find it with available automatic climate control, heated front seats and an optional DVD entertainment system. All big-time features in a city-sized package. That’s the Kia Rondo: it lives big and drives small.
",20,2010,car,CA,Kia,1,Rondo,15,0
"There’s a feeling you get when you’ve found a car that’s so right for you. You can see it in the styling, sense it in the performance and truly relax in its comfort. Feel the attraction of the 2010 Magentis. Magentis has the confident look and feel of a family sedan with a performance-oriented edge, complemented by an available 5-speed Steptronic automatic transmission – with a manual-shift mode – and available sport-tuned suspension. It also leads the way in affordable comforts and conveniences that include standard heated front seats, steering wheel-mounted audio and cruise controls, heated power side mirrors and available push-button starting.
",21,2010,car,CA,Kia,1,Magentis,16,0
"The all-new 2010 Kia Sportage is all about you – your style, your attitude, your zest for life and your love of adventure. There’s no one else like you, and nothing else like Sportage. Sportage blends athleticism and elegance in its captivating design, the latest expression of a new Kia design language spoken in bold lines and sophisticated details. This is a compact crossover that stands far above the anonymous crowd; a no-nonsense performer that rises to the challenges of a busy life. Effortlessly.",22,2010,car,CA,Kia,1,Sportage,10,0
