air_tax,body_style,body_style_id,body_style_key,brake_desc,car_id,engine_desc,fuel_highway,fuel_town,general_desc,green_tax,msrp,new_car_trim_id,pdi,price,specs_dimension_desc,suspension_desc,trim,trim_id
100,Sedan,8,sedan,"<b>Type :</b> Hydraulic, vacuum power-assisted<br/><b>Front, mm (in.) :</b> 256 (10.1) vented disc<br/><b>Rear, mm (in.) :</b> 203 (8.0) drum",1,"<b>Type :</b> 1.6L, in-line 4-cylinder, iron block and aluminum head<br/><b>Valve Train :</b> 16-valve, DOHC, Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 110 hp @ 6,000 rpm<br/><b>Torque :</b> 107 lb.-ft. @ 4,500 rpm<br/><b>Compression ratio :</b> 10.0:1<br/><b>Transmission :</b> 5-speed manual, overdrive<br/><b>Available :</b> 4-speed automatic, electronically controlled, overdrive",5.6,7.5,,,,1,,15550,,"<b>Layout :</b> Front engine, front wheel drive<br/><b>Body type :</b> Steel unibody<br/><b>Front suspension :</b> Independent, MacPherson struts, coil springs, stabilizer bar<br/><b>Rear suspension :</b> Torsion beam, coil springs<br/><b>Steering :</b> Rack",EX,1
100,Sedan,8,sedan,"<b>Type :</b> Hydraulic, vacuum power-assisted<br/><b>Front, mm (in.) :</b> 256 (10.1) vented disc<br/><b>Rear, mm (in.) :</b> 203 (8.0) drum",1,"<b>Type :</b> 1.6L, in-line 4-cylinder, iron block and aluminum head<br/><b>Valve Train :</b> 16-valve, DOHC, Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 110 hp @ 6,000 rpm<br/><b>Torque :</b> 107 lb.-ft. @ 4,500 rpm<br/><b>Compression ratio :</b> 10.0:1<br/><b>Transmission :</b> 5-speed manual, overdrive<br/><b> :</b> Available 4-speed automatic, electronically controlled, overdrive",5.6,7.5,,,,2,,17850,,"<b>Layout :</b> Front engine, front wheel drive<br/><b>Body type :</b> Steel unibody<br/><b>Front suspension :</b> Independent, MacPherson struts, coil springs, stabilizer bar<br/><b>Rear suspension :</b> Torsion beam, coil springs<br/><b>Steering :</b> Rack",EX Commodité,2
100,HatchBack,4,hatchback,"<b>Type :</b> Hydraulic, vacuum power-assisted<br/><b>ABS :</b> 4-wheel anti-lock brakes (Rio5 EX Sport)<br/><b>Front, mm (in.) :</b> 256 (10.1) vented disc<br/><b>Rear, mm (in.) :</b> 203 (8.0) drum",4,"<b>Type :</b> 1.6L, in-line 4-cylinder, iron block and aluminum head<br/><b>Valve Train :</b> 16-valve, DOHC, Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 110 hp @ 6,000 rpm<br/><b>Torque :</b> 107 lb.-ft. @ 4,500 rpm<br/><b>Compression ratio :</b> 10.0:1<br/><b>Transmission :</b> 5-speed manual, overdrive<br/><b>Available :</b> 4-speed automatic, electronically controlled, overdrive",5.6,7.5,,,,3,,14095,,"<b>Front suspension :</b> Independent, MacPherson struts, coil springs, stabilizer bar<br/><b>Rear suspension :</b> Torsion beam, coil springs<br/><b>Steering :</b> Rack",EX,1
100,HatchBack,4,hatchback,"<b>Type :</b> Hydraulic, vacuum power-assisted<br/><b>ABS :</b> 4-wheel anti-lock brakes (Rio5 EX Sport)<br/><b>Front, mm (in.) :</b> 256 (10.1) vented disc<br/><b>Rear, mm (in.) :</b> 203 (8.0) drum",4,"<b>Type :</b> 1.6L, in-line 4-cylinder, iron block and aluminum head<br/><b>Valve Train :</b> 16-valve, DOHC, Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 110 hp @ 6,000 rpm<br/><b>Torque :</b> 107 lb.-ft. @ 4,500 rpm<br/><b>Compression ratio :</b> 10.0:1<br/><b>Transmission :</b> 5-speed manual, overdrive<br/><b>Available :</b> 4-speed automatic, electronically controlled, overdrive",5.6,7.5,,,,4,,18695,,"<b>Front suspension :</b> Independent, MacPherson struts, coil springs, stabilizer bar<br/><b>Rear suspension :</b> Torsion beam, coil springs<br/><b>Steering :</b> Rack",EX Commodité,2
100,HatchBack,4,hatchback,"<b>Type :</b> Hydraulic, vacuum power-assisted<br/><b>ABS :</b> 4-wheel anti-lock brakes (Rio5 EX Sport)<br/><b>Front, mm (in.) :</b> 256 (10.1) vented disc<br/><b>Rear, mm (in.) :</b> 203 (8.0) drum",4,"<b>Type :</b> 1.6L, in-line 4-cylinder, iron block and aluminum head<br/><b>Valve Train :</b> 16-valve, DOHC, Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 110 hp @ 6,000 rpm<br/><b>Torque :</b> 107 lb.-ft. @ 4,500 rpm<br/><b>Compression ratio :</b> 10.0:1<br/><b>Transmission :</b> 5-speed manual, overdrive<br/><b>Available :</b> 4-speed automatic, electronically controlled, overdrive",5.6,7.5,,,,5,,16395,,"<b>Front suspension :</b> Independent, MacPherson struts, coil springs, stabilizer bar<br/><b>Rear suspension :</b> Torsion beam, coil springs<br/><b>Steering :</b> Rack",EX Sport,3
100,SUV,9,suv,"<b>Type :</b> Dual-diagonal, split-circuit, power-assisted braking system with electronic brake distribution (EBD)<br/><b>ABS :</b> 4-wheels<br/><b>Front, mm (in.) :</b> 328 (12.9), vented discs<br/><b>Rear, mm (in.) :</b> 325 (12.8), solid discs",5,"<b>Type :</b> 4.6L V8, aluminum block and head<br/><b>Valve Train :</b> 32-valve, DOHC, Dual Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 337 hp @ 6,000 rpm<br/><b>Torque :</b> 323 lb.-ft. @ 3,500 rpm<br/><b>Transmission :</b> 6-speed Steptronic automatic, electronically controlled with overdrive<br/><b>4X4 :</b> LX: Part time<br/><b>EX: </b> Full time,Torque-on-Demand®<br/>Eaton Locker rear differential<br/><b>Compression ratio :</b> 10.4:1",9.7,14.4,,,,6,,46045,,"<b>Rear suspension :</b> Multi-link, coil spring with damper and stabilizer bar<br/><b>Steering :</b> Rack-and-pinion<br/><b>Power assist :</b> Engine-speed sensitive",EX V8,4
100,SUV,9,suv,"<b>Type :</b> Dual-diagonal, split-circuit, power-assisted braking system with electronic brake distribution (EBD)<br/><b>ABS :</b> 4-wheels<br/><b>Front, mm (in.) :</b> 328 (12.9), vented discs<br/><b>Rear, mm (in.) :</b> 325 (12.8), solid discs",5,"<b>Type :</b> 3.8L V6, aluminum block and head<br/><b>Valve Train :</b> 24-valve, DOHC,Dual Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 276 hp @ 6,000 rpm<br/><b>Torque :</b> 267 lb.-ft. @ 4,400 rpm<br/><b>Transmission :</b> 5-speed Steptronic automatic, electronically controlled with overdrive<br/><b>4X4 :</b> LX: Part time<br/><b>EX: </b> Full time,Torque-on-Demand®<br/>Eaton Locker rear differential<br/><b>Compression ratio :</b> 10.4:1",9.4,13.0,,,,7,,39045,,"<b>Rear suspension :</b> Multi-link, coil spring with damper and stabilizer bar<br/><b>Steering :</b> Rack-and-pinion<br/><b>Power assist :</b> Engine-speed sensitive",LX V6,5
100,SUV,9,suv,"<b>Type :</b> Dual-diagonal, split-circuit, power-assisted braking system with electronic brake distribution (EBD)<br/><b>ABS :</b> 4-wheels<br/><b>Front, mm (in.) :</b> 328 (12.9), vented discs<br/><b>Rear, mm (in.) :</b> 325 (12.8), solid discs",5,"<b>Type :</b> 3.8L V6, aluminum block and head<br/><b>Valve Train :</b> 24-valve, DOHC,Dual Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 276 hp @ 6,000 rpm<br/><b>Torque :</b> 267 lb.-ft. @ 4,400 rpm<br/><b>Transmission :</b> 5-speed Steptronic automatic, electronically controlled with overdrive<br/><b>4X4 :</b> LX: Part time<br/><b>EX :</b> Full time,Torque-on-Demand®<br/>Eaton Locker rear differential<br/><b>Compression ratio :</b> 10.4:1",9.4,13.0,,,,8,,43045,,"<b>Rear suspension :</b> Multi-link, coil spring with damper and stabilizer bar<br/><b>Steering :</b> Rack-and-pinion<br/><b>Power assist :</b> Engine-speed sensitive",EX V6,6
100,SUV,9,suv,"<b>Type :</b> Dual-diagonal, split-circuit, power-assisted braking system with electronic brake distribution (EBD)<br/><b>ABS :</b> 4-wheels<br/><b>Front, mm (in.) :</b> 328 (12.9), vented discs<br/><b>Rear, mm (in.) :</b> 325 (12.8), solid discs",5,"<b>Type :</b> 4.6L V8, aluminum block and head<br/><b>Valve Train :</b> 32-valve, DOHC, Dual Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 337 hp @ 6,000 rpm<br/><b>Torque :</b> 323 lb.-ft. @ 3,500 rpm<br/><b>Transmission :</b> 6-speed Steptronic automatic, electronically controlled with overdrive<br/><b>4X4 :</b> LX: Part time<br/><b>EX :</b> Full time,Torque-on-Demand®<br/>Eaton Locker rear differential<br/><b>Compression ratio :</b> 10.4:1",9.7,14.4,,,,9,,41545,,"<b>Rear suspension :</b> Multi-link, coil spring with damper and stabilizer bar<br/><b>Steering :</b> Rack-and-pinion<br/><b>Power assist :</b> Engine-speed sensitive",LX V8,7
100,Sedan,8,sedan,"<b>Type :</b> Hydraulic, vacuum power-assisted<br/><b>Front, mm (in.) :</b> 256 (10.1) vented disc<br/><b>Rear, mm (in.) :</b> 203 (8.0) drum",11,"<b>Type :</b> 1.6L, in-line 4-cylinder, iron block and aluminum head<br/><b>Valve Train :</b> 16-valve, DOHC, Continuously Variable Valve Timing (CVVT)<br/><b>Horsepower :</b> 110 hp @ 6,000 rpm<br/><b>Torque :</b> 107 lb.-ft. @ 4,500 rpm<br/><b>Compression ratio :</b> 10.0:1<br/><b>Transmission :</b> 5-speed manual, overdrive<br/><b>Available :</b> 4-speed automatic, electronically controlled, overdrive",6.9,8.4,,,,10,,15150,,"<b>Front suspension :</b> Independent, MacPherson struts, coil springs, stabilizer bar :</b> <br/><b>Rear suspension :</b> Torsion beam, coil springs :</b> <br/><b>Steering :</b> Rack",EX,1
