bonus,cashdown,creation_date,description,distance_allowed,distance_period,end_date,financing_duration,frequency,img_url,interest_rate,last_modified_date,make,make_id,model,model_id,payment,promotion_id,rebate,start_date,title,trim,trim_id,type,year
,,,"<p>Enjoy this month's promotion and get the 2016 Acura ILX <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2016-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:29,Acura,45,ILX,807,,4,,2013-06-05,Get The 2016 Acura ILX!,,,,2016.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Altima <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:36,Nissan,2,Altima,35,,68,,2012-12-19,Get The 2013 Nissan Altima!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Honda Civic Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2015-03-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:38,Honda,15,Civic Berline,471,,94,,2012-12-24,Get The 2013 Honda Civic Berline!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Sonic Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-02-28,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:42,Chevrolet,41,Sonic Berline,748,,116,,2013-01-14,Get The 2013 Chevrolet Sonic Berline!,LS,1927.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Sonic Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-02-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:42,Chevrolet,41,Sonic Berline,748,,118,,2013-01-14,Get The 2013 Chevrolet Sonic Berline!,LS,1927.0,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-02-28,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:42,Chevrolet,41,Cruze,750,,119,,2013-01-14,The 2013 Chevrolet Cruze Is Here,LS,1900.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Acura ILX <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-01-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:42,Acura,45,ILX,807,,122,,2013-01-15,Get The 2013 Acura ILX!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2014 Hyundai Tucson <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-09-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:44,Hyundai,9,Tucson,577,,134,,2013-01-18,Get The 2014 Hyundai Tucson!,GL,2840.0,,2014.0
,,,"<p>Enjoy this month's promotion and get the 2013 Honda Accord Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2099-01-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:45,Honda,15,Accord Berline,557,,152,,2013-01-31,Get The 2013 Honda Accord Berline!,,,,2013.0
,,,<p>Honda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2099-01-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:45,Honda,15,Civic Berline,471,,153,,2013-01-31,The 2013 Honda Civic Berline Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2014 Honda CR-V <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2099-01-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:45,Honda,15,CR-V,560,,154,,2013-01-31,Get The 2014 Honda CR-V!,,,,2014.0
,,,"<p>Enjoy this month's promotion and get the 2013 Honda CR-V <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:46,Honda,15,CR-V,560,,156,,2013-01-31,Get The 2013 Honda CR-V!,LX,1846.0,,2013.0
,,,<p>Honda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:46,Honda,15,Civic Berline,471,,157,,2013-01-31,The 2013 Honda Civic Berline Is Here,LX,2057.0,,2013.0
,,,<p>Hyundai Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-09-26,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,Hyundai,9,Elantra GT,790,,165,,2013-09-22,The 2013 Hyundai Elantra GT Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the INFINITI G Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,INFINITI,5,G Berline,226,,166,,2013-02-05,Get The INFINITI G Berline!,G37x AWD Sedan,764.0,,
,,,<p>Hyundai Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2016-02-01,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,Hyundai,9,Elantra,920,,167,,2015-03-03,The 2016 Hyundai Elantra Is Here,HYBRID,4827.0,,2016.0
,,,"<p>Enjoy this month's promotion and get the 2013 Hyundai Tucson <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,Hyundai,9,Tucson,577,,168,,2013-06-04,Get The 2013 Hyundai Tucson!,L,1640.0,,2013.0
,,,<p>INFINITI Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,INFINITI,5,G Berline,226,,169,,2013-02-05,The INFINITI G Berline Is Here,G37x AWD Sedan,764.0,,
,,,"<p>Enjoy this month's promotion and get the 2013 INFINITI FX <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,INFINITI,5,FX,712,,172,,2013-02-05,Get The 2013 INFINITI FX!,37,2237.0,,2013.0
,,,<p>Hyundai Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2015-10-10,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,Hyundai,9,Tucson,577,,173,,2015-03-03,The 2016 Hyundai Tucson Is Here,,,,2016.0
,,,"<p>Enjoy this month's promotion and get the 2015 Hyundai Genesis Coupe <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2015-01-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:47,Hyundai,9,Genesis Coupe,576,,174,,2013-09-04,Get The 2015 Hyundai Genesis Coupe!,,,,2015.0
,,,<p>Hyundai Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-01-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:48,Hyundai,9,Elantra Coupe,791,,175,,2013-10-01,The 2013 Hyundai Elantra Coupe Is Here,GLS,1628.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Hyundai Sonata <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-28,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:48,Hyundai,9,Sonata,572,,178,,2013-10-01,Get The 2013 Hyundai Sonata!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:48,Chevrolet,41,Cruze,750,,181,,2013-04-23,The 2013 Chevrolet Cruze Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Cadillac ATS <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:48,Cadillac,43,ATS,824,,182,,2013-04-23,Get The 2013 Cadillac ATS!,,,,2013.0
,,,<p>Buick Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:48,Buick,42,Regal,774,,183,,2013-04-23,The 2013 Buick Regal Is Here,,,,2013.0
