promotion_id,promotion_website_id,website_id
15091,1,1
1811,2,1
5328,3,1
3918,4,1
5564,5,1
13037,6,1
9820,7,1
8400,8,1
13719,9,1
17822,10,1
16477,11,1
16128,12,1
17460,13,1
2178,14,1
20078,15,1
7161,16,1
14889,17,1
10041,18,1
6979,19,1
14549,20,1
1553,21,1
20739,22,1
20426,23,1
8189,24,1
4160,25,1
8611,26,1
11940,27,1
11432,28,1
152,29,1
18332,30,1
5745,31,1
11681,32,1
6672,33,1
13400,34,1
9536,35,1
16300,36,1
3571,37,1
20077,38,2
10040,39,2
5325,40,2
7160,41,2
13035,42,2
17821,43,2
14548,44,2
16299,45,2
1552,46,2
18327,47,2
8188,48,2
11939,49,2
3570,50,2
8399,51,2
6671,52,2
13717,53,2
11429,54,2
20424,55,2
20733,56,2
15090,57,2
3917,58,2
9819,59,2
5560,60,2
11680,61,2
9535,62,2
16124,63,2
134,64,2
6978,65,2
16475,66,2
2163,67,2
14885,68,2
4159,69,2
1806,70,2
5730,71,2
8610,72,2
17458,73,2
13376,74,2
20427,75,4
11941,76,4
9537,77,4
15093,78,4
14560,79,4
11683,80,4
17842,81,4
16480,82,4
6984,83,4
3572,84,4
5746,85,4
16301,86,4
5565,87,4
1812,88,4
14890,89,4
17463,90,4
16129,91,4
8190,92,4
2180,93,4
6673,94,4
8612,95,4
11434,96,4
13038,97,4
13401,98,4
10048,99,4
3919,100,4
